id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27560722,Private room in downtown of Berlin,62812112,Yong Hyun,Mitte,Moabit Ost,52.51579,13.33829,Private room,30,1,3,2018-08-23,0.06,1,0,0,
27579085,A central a private apartment in Kreuzberg,174625090,Elias,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50115,13.40291,Entire home/apt,100,3,25,2021-11-28,0.55,1,0,14,
51052089,Cozy flat for two in Mitte,139801844,Norma,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50241,13.41055,Entire home/apt,50,3,3,2022-04-24,0.34,1,0,3,
51327257,Ruhige Wohnung im Herzen des Schillerkiezes,22773705,Omar,Neukölln,Schillerpromenade,52.47456,13.42181,Entire home/apt,89,2,4,2021-10-05,0.39,2,0,4,
27721266,Möblierte 2 Raumwohnung mit Tiefgarage,209258189,Benyamin,Marzahn - Hellersdorf,Biesdorf,52.51718,13.56547,Entire home/apt,60,5,2,2018-09-15,0.04,1,0,0,
51429090,Cozy warm flat in Berlin // Lohmühlenbrücke,17974926,Melanie,Treptow - Köpenick,Alt  Treptow,52.48966,13.44146,Entire home/apt,88,2,2,2022-03-01,0.23,1,0,2,
51626471,Cozy apartment in the heart of Prenzlauer Berg,346149171,Kristin,Pankow,Prenzlauer Berg Südwest,52.53957,13.4114,Entire home/apt,110,6,2,2021-11-14,0.25,1,10,2,03/Z/RA/006410-21
27817073,Lichtdurchflutetes Loft in Kreuzberg,22943569,Laura,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49436,13.43318,Private room,95,2,1,2019-02-17,0.02,2,0,0,
27865782,Apartment at Landgrafenstrasse,210484545,Jose,Mitte,Tiergarten Süd,52.50438,13.34942,Private room,80,2,2,2018-10-19,0.04,1,0,0,
51976326,Family Apartment with big  Rooftop in P-Berg,24082778,Julia,Pankow,Prenzlauer Berg Nord,52.55195,13.41831,Entire home/apt,109,4,0,,,2,1,0,
52085505,Lovely 2 room Appartment in Berlin,421714764,Beate,Tempelhof - Schöneberg,Friedenau,52.47158,13.32525,Entire home/apt,100,3,2,2021-11-22,0.22,1,0,2,
27971467,Large Rooftop Room with Balcony,29507007,Philipp,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49218,13.41638,Private room,62,3,36,2022-05-11,0.78,2,4,3,
52235891,Très cosy appartement au coeur de Kreuzberg.,2337334,Manuel,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4912,13.38545,Entire home/apt,75,5,0,,,1,0,0,02/Z/RA/011637-19
28061799,Cozy guest home,163404075,Bao,Mitte,Moabit West,52.52833,13.32777,Private room,18,5,9,2018-12-07,0.20,1,0,0,
28100991,"Berlin-Wedding, fun multi-culti neighborhood",15160550,Armin,Mitte,Wedding Zentrum,52.55234,13.37272,Private room,29,2,43,2020-10-01,0.94,1,0,0,
53338223,An oasis in the middle of the city,37110146,Yael,Pankow,Prenzlauer Berg Ost,52.53138,13.44439,Entire home/apt,95,6,0,,,1,0,0,"First name and Last name: Yael Sherill <br/> Contact address: Danziger Str. 195, 10407, Berlin, Germany  <br/>Listing address: Danziger Str. 195, 10407, Berlin, Germany "
53467284,Lovely 1-bedroom apartment in the heart of Berlin,61494270,Anna Sophie,Mitte,Alexanderplatz,52.52909,13.40458,Entire home/apt,60,1,5,2022-06-07,2.34,1,0,5,"First name and Last name: Anna Sophie Ziegert <br/> Contact address: Schlickweg 14, 14129, Berlin, Germany <br/>Listing address: Gormannstr. 18a, 10119, Berlin, Germany"
28171668,Sunny and stylish room with a balcony in Neukölln,212782483,Oliver,Neukölln,Schillerpromenade,52.46716,13.42668,Private room,80,3,79,2021-01-31,1.73,1,0,0,
28380389,Zimmer in WG,29269984,Cornelia,Lichtenberg,Rummelsburger Bucht,52.50104,13.47692,Private room,25,10,2,2019-06-08,0.04,1,0,0,
28733538,"Bright, charming Neukölln apt w sundeck & king bed",20391482,Sophie,Neukölln,Reuterstraße,52.48456,13.4291,Private room,43,2,11,2020-07-24,0.25,1,0,0,
